Organizati,Organiza_1,Monitoring,Monitori_1,Monitori_2,Monitori_3,HUCEightDi,DrainageAr,Drainage_1,Contributi,Contribu_1,LatitudeMe,LongitudeM,SourceMapS,Horizontal,Horizont_1,Horizont_2,Horizont_3,VerticalMe,Vertical_1,VerticalAc,Vertical_2,VerticalCo,Vertical_3,CountryCod,StateCode,CountyCode,AquiferNam,FormationT,AquiferTyp,Constructi,WellDepthM,WellDept_1,WellHoleDe,WellHole_1,ProviderNa,End_Sp_Res,End_Sp_R_1,End_Sp_R_2,End_Sp_R_3,End_Sp_R_4,End_Sp_R_5,End_Sp_R_6,End_Sp_R_7,End_Sp_R_8,End_Sp_R_9,End_Sp_R10,End_Sp_R11,End_Sp_R12,End_Sp_R13,End_Sp_R14,End_Sp_R15,End_Sp_R16,End_Sp_R17,End_Sp_R18,End_Sp_R19,End_Sp_R20,End_Sp_R21,End_Sp_R22,End_Sp_R23,End_Sp_R24,End_Sp_R25,End_Sp_R26,End_Sp_R27,End_Sp_R28,End_Sp_R29,End_Sp_R30,End_Sp_R31,End_Sp_R32,End_Sp_R33,End_Sp_R34,End_Sp_R35,End_Sp_R36,End_Sp_R37,End_Sp_R38,End_Sp_R39,End_Sp_R40,End_Sp_R41,End_Sp_R42,End_Sp_R43,End_Sp_R44,End_Sp_R45,End_Sp_R46,End_Sp_R47,End_Sp_R48,End_Sp_R49,End_Sp_R50,End_Sp_R51,End_Sp_R52,End_Sp_R53,End_Sp_R54,End_Sp_R55,End_Sp_R56,End_Sp_R57,End_Sp_R58,End_Sp_R59,End_Sp_R60,End_Sp_R61,group_coal,group_co_1,HUC12RNG,STATES,Shape_Leng,Shape_Area
USGS-KY,USGS Kentucky Water Science Center,USGS-03280120,"NORTH FORK KENTUCKY RIVER AT FROZEN CREEK, KY",Stream,,5100201,,,,,37.5928669,-83.4229595,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,25,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98800901,Sample-Routine,Water,Surface Water,8/9/1988,12:30:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Zinc,Dissolved,12,ug/l,,Historical,,Actual,,,,,,,1090,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,,,,,NWIS,2,"8/25/1987, 8/9/1988",51002010701,KY,67141.16755,119503102.8
USGS-KY,USGS Kentucky Water Science Center,USGS-03280500,"NORTH FORK KENTUCKY RIVER NEAR AIRDALE, KY",Stream,,5100201,1294,sq mi,,,37.6167532,-83.6332454,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,129,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98800903,Sample-Routine,Water,Surface Water,8/9/1988,10:15:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,12,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/25/1987, 8/9/1988",51002010706,KY,61087.06545,112644752.5
USGS-KY,USGS Kentucky Water Science Center,USGS-03280551,"MIDDLE FK KENTUCKY RIVER AT ST HWY 421 AT ASHER,KY",Stream,,5100202,70.6,sq mi,,,37.0528681,-83.3999056,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,131,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98800904,Sample-Routine,Water,Surface Water,8/8/1988,14:45:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,1049,,,,,,CX007,USGS,"Lead, wf, APDC & MIBK, AAS","USGS TWRI 5-A1/1989, p 245",,,,Historical Lower Reporting Limit,5,ug/l,,NWIS,2,"8/24/1987, 8/8/1988",51002020205,KY,77966.82646,109078393.5
USGS-KY,USGS Kentucky Water Science Center,USGS-03280600,"MIDDLE FORK KENTUCKY RIVER NEAR HYDEN, KY",Stream,,5100202,202,sq mi,,,37.1370363,-83.3712929,,5,seconds,Interpolated from MAP.,NAD83,833,feet,1,feet,Interpolated from topographic map.,NGVD29,US,21,131,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98800905,Sample-Routine,Water,Surface Water,8/8/1988,11:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,12,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/24/1987, 8/8/1988",51002020206,KY,61298.30586,98783009.88
USGS-KY,USGS Kentucky Water Science Center,USGS-03280700,"CUTSHIN CREEK AT WOOTON, KY",Stream,,5100202,61.3,sq mi,,,37.1650931,-83.3079564,,5,seconds,Interpolated from MAP.,NAD83,869.84,feet,1,feet,Interpolated from topographic map.,NGVD29,US,21,131,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98700808,Sample-Routine,Water,Surface Water,8/24/1987,11:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,50,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/8/1988, 8/24/1987",51002020104,KY,38672.45741,45032894.08
USGS-KY,USGS Kentucky Water Science Center,USGS-03280900,"MIDDLE FORK KENTUCKY RIVER AT BUCKHORN, KY",Stream,,5100202,420,sq mi,,,37.3459243,-83.468518,,Unknown,Unknown,Interpolated from MAP.,NAD83,717.52,feet,0.01,feet,Level or other surveyed method.,NGVD29,US,21,193,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98700785,Sample-Routine,Water,Surface Water,8/24/1987,12:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,10,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/8/1988, 8/24/1987",51002020401,KY,50239.80758,47687515.05
USGS-KY,USGS Kentucky Water Science Center,USGS-03280940,"MIDDLE FORK KENTUCKY RIVER NEAR SHOULDERBLADE, KY",Stream,,,,,,,37.4873117,-83.480461,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,21,25,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98700814,Sample-Routine,Water,Surface Water,8/25/1987,7:35:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,11,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/9/1988, 8/25/1987",51002020403,KY,50085.40014,74405306.58
USGS-KY,USGS Kentucky Water Science Center,USGS-03281000,"MIDDLE FORK KENTUCKY RIVER AT TALLEGA, KY",Stream,,5100202,537,sq mi,,,37.5550877,-83.5937993,,5,seconds,Interpolated from MAP.,NAD83,642.13,feet,1,feet,Interpolated from topographic map.,NGVD29,US,21,129,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98900015,Sample-Routine,Water,Surface Water,10/18/1988,13:20:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,4,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,47,"7/13/1989, 1/13/1989, 3/23/1988, 4/8/1988, 3/21/1989, 5/9/1989, 10/18/1989, 10/26/1989, 12/21/1989, 8/9/1988, 4/21/1987, 6/16/1987, 7/21/1987, 12/20/1988, 2/23/1989, 3/7/1989, 5/17/1988, 2/3/1988, 5/19/1987, 8/25/1987, 7/19/1988, 11/15/1988, 1/11/1989, 9",51002020407,KY,49241.70457,56705687.17
USGS-KY,USGS Kentucky Water Science Center,USGS-03281017,"RED BIRD RIVER AT HIGHWAY 66 NEAR SPRING CREEK, KY",Stream,,5100203,,,,,37.0481443,-83.5440788,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,51,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98800910,Sample-Routine,Water,Surface Water,8/8/1988,10:30:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,4,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/24/1987, 8/8/1988",51002030203,KY,54904.65358,80353556.43
USGS-KY,USGS Kentucky Water Science Center,USGS-03281040,"RED BIRD RIVER NEAR BIG CREEK, KY",Stream,,5100203,155,sq mi,,,37.1787013,-83.592969,,Unknown,Unknown,Interpolated from MAP.,NAD83,815.74,feet,0.01,feet,Unknown.,NGVD29,US,21,51,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98800909,Sample-Routine,Water,Surface Water,8/8/1988,8:20:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,2,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/24/1987, 8/8/1988",51002030207,KY,57701.97655,87794352.7
USGS-KY,USGS Kentucky Water Science Center,USGS-03281100,"GOOSE CREEK AT MANCHESTER, KY",Stream,,5100203,163,sq mi,,,37.1520341,-83.7601974,,Unknown,Unknown,Interpolated from MAP.,NAD83,819.37,feet,0.01,feet,Unknown.,NGVD29,US,21,51,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98800908,Sample-Routine,Water,Surface Water,8/8/1988,13:10:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,12,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/24/1987, 8/8/1988",51002030301,KY,54010.71875,66960663.27
